frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.03333327702702703,803.75830078125,249.43064880371094,812.7268676757812,242.41436767578125,796.103515625,240.4575958251953,824.3392944335938,249.23611450195312,781.8889770507812,243.7327117919922,843.718017578125,303.1976623535156,752.8687133789062,293.1567687988281,850.5269165039062,369.14739990234375,729.8890380859375,356.84149169921875,835.6104125976562,417.4822692871094,745.13525390625,406.07574462890625,812.9899291992188,426.0642395019531,752.1337280273438,417.25140380859375,799.9520263671875,514.5154418945312,727.1621704101562,485.1512451171875,801.1127319335938,604.3656616210938,735.2312622070312,559.6998291015625
2,0.06666655405405406,809.912841796875,251.37466430664062,818.9632568359375,245.0642852783203,802.6607055664062,241.3971710205078,829.659423828125,252.59765625,786.3956298828125,243.5048370361328,851.727783203125,305.57574462890625,752.5774536132812,291.4586486816406,857.1657104492188,369.3026428222656,737.46826171875,357.50921630859375,837.9691162109375,420.4727478027344,754.5147094726562,408.4494934082031,815.2787475585938,425.44097900390625,748.8229370117188,410.96435546875,796.087890625,510.6964111328125,716.0601196289062,455.9084777832031,804.3761596679688,608.0672607421875,743.0308227539062,522.4210205078125
3,0.09999983108108108,812.3728637695312,251.40435791015625,821.630615234375,245.3816680908203,805.18115234375,240.94203186035156,832.2607421875,253.509033203125,788.4107666015625,242.9264373779297,855.5426635742188,306.82562255859375,752.740234375,291.4918212890625,858.2886352539062,367.7438659667969,740.0633544921875,357.8046569824219,840.49951171875,420.8433837890625,757.7381591796875,409.18084716796875,817.456298828125,428.8573303222656,748.7230834960938,412.1007995605469,794.9609985351562,511.4715881347656,711.86376953125,444.84222412109375,805.6939086914062,610.7400512695312,746.7906494140625,505.46337890625
4,0.1333331081081081,814.613525390625,252.14242553710938,823.6434936523438,246.04898071289062,807.33203125,241.34378051757812,834.20068359375,254.24501037597656,790.705322265625,243.31715393066406,858.4185180664062,308.2747802734375,754.3880004882812,291.0080871582031,859.8908081054688,369.296142578125,741.5142211914062,356.99041748046875,840.561767578125,422.55767822265625,762.3278198242188,411.4372253417969,817.8923950195312,429.69854736328125,748.3292846679688,411.2794494628906,796.1241455078125,510.2657165527344,711.8884887695312,437.6767883300781,806.13818359375,612.9744873046875,745.8599853515625,497.89105224609375
5,0.16666638513513513,817.1941528320312,252.00674438476562,826.1502685546875,246.0016326904297,809.7926025390625,241.125732421875,836.4923095703125,254.43179321289062,792.7703857421875,243.25979614257812,859.289306640625,308.6283874511719,756.1727294921875,290.46539306640625,860.189697265625,369.3102722167969,742.5609741210938,356.78277587890625,842.43359375,421.3949279785156,763.8037719726562,412.9549560546875,817.3512573242188,427.66937255859375,748.6646118164062,408.8630065917969,797.5277099609375,506.54534912109375,716.870361328125,432.235107421875,806.3949584960938,612.1217041015625,751.42626953125,494.42498779296875
6,0.19999966216216217,817.1923217773438,251.81126403808594,826.1921997070312,245.84788513183594,809.8176879882812,240.9300079345703,836.5353393554688,254.43435668945312,792.79541015625,243.13031005859375,859.138427734375,308.6484375,755.93408203125,290.2487487792969,860.0845947265625,369.32891845703125,741.7957763671875,356.26422119140625,842.508544921875,421.93310546875,763.3690185546875,412.2845764160156,817.0643310546875,427.0498046875,748.3187255859375,408.2130432128906,797.6421508789062,505.83587646484375,716.8589477539062,431.52996826171875,806.4522705078125,612.2622680664062,751.5520629882812,494.639404296875
7,0.23333293918918918,714.6317138671875,251.14418029785156,723.75537109375,244.25721740722656,707.113525390625,241.7956085205078,734.205078125,249.50128173828125,691.7716064453125,243.7115478515625,756.5192260742188,302.4017333984375,657.8748168945312,289.5528564453125,758.7982177734375,367.1678161621094,641.1192626953125,351.1574401855469,744.5575561523438,422.70086669921875,662.058837890625,407.08465576171875,714.9664306640625,421.43365478515625,652.6494750976562,408.8207702636719,685.3809204101562,481.341064453125,619.04443359375,436.9810791015625,696.7401733398438,577.6693725585938,657.8551025390625,508.3858947753906
8,0.2666662162162162,819.023681640625,252.49217224121094,828.447265625,246.564208984375,811.7067260742188,241.42074584960938,839.6240234375,253.89437866210938,796.4918212890625,243.4077606201172,860.1495971679688,308.5923767089844,762.0560913085938,290.2897033691406,858.6243896484375,369.7003479003906,746.55078125,355.49432373046875,844.1561889648438,421.616943359375,766.1306762695312,406.7829284667969,815.683837890625,429.179443359375,750.8615112304688,409.0910339355469,795.4301147460938,510.8402404785156,718.509033203125,431.7484130859375,802.7539672851562,610.6961669921875,753.3152465820312,487.36932373046875
9,0.29999949324324326,820.281005859375,252.45413208007812,829.7756958007812,246.51806640625,812.839599609375,242.27392578125,841.6447143554688,253.37937927246094,798.5045776367188,244.90855407714844,860.0394897460938,307.4093017578125,765.7632446289062,291.62353515625,863.1465454101562,369.2933044433594,748.1419067382812,354.2414855957031,843.482421875,420.61383056640625,769.0339965820312,408.10845947265625,814.1966552734375,427.4165954589844,753.8042602539062,411.2364807128906,802.0901489257812,511.4834899902344,743.4025268554688,450.626708984375,799.0170288085938,606.9513549804688,771.55322265625,513.8363647460938
10,0.33333277027027025,822.62548828125,251.84381103515625,831.9244384765625,245.62554931640625,814.732666015625,242.23028564453125,843.7286987304688,251.9274444580078,800.099365234375,245.2918243408203,860.0265502929688,306.8780212402344,768.4631958007812,292.4341735839844,865.7607421875,371.33306884765625,749.6367797851562,354.81793212890625,842.3829345703125,421.0981750488281,771.094970703125,411.3993225097656,813.1227416992188,426.74609375,755.9111938476562,413.1723937988281,806.1965942382812,513.672607421875,761.7236328125,465.1591491699219,796.5344848632812,605.7721557617188,786.12744140625,533.4649047851562
