frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.03333329040566645,737.4482421875,226.65760803222656,747.5535888671875,218.86468505859375,726.5845947265625,216.9969024658203,760.5278930664062,225.07366943359375,707.83984375,221.61155700683594,785.096435546875,275.4854736328125,676.81298828125,271.60546875,854.3065795898438,259.79925537109375,597.6300048828125,260.13739013671875,918.7079467773438,218.1140594482422,527.0802001953125,227.22901916503906,768.5457763671875,450.3460693359375,702.5068969726562,448.6056213378906,783.1619262695312,571.3184814453125,706.4853515625,561.7725830078125,783.5199584960938,686.6962890625,705.0492553710938,677.1380615234375
2,0.0666665808113329,739.0238647460938,227.15211486816406,749.8916625976562,218.4878387451172,728.3687744140625,217.61367797851562,764.2274780273438,225.8985595703125,711.6200561523438,224.0115966796875,785.8121337890625,278.31610107421875,683.9168701171875,274.7029113769531,852.6129760742188,256.22174072265625,599.6264038085938,252.52151489257812,917.957275390625,201.67564392089844,530.8674926757812,208.65830993652344,767.4768676757812,447.19732666015625,704.3883666992188,445.9815979003906,774.5936279296875,568.0582275390625,702.1826782226562,562.1704711914062,784.5064697265625,684.9964599609375,700.7928466796875,676.8193969726562
3,0.09999987121699935,739.87548828125,226.29539489746094,750.6831665039062,217.58258056640625,729.38330078125,216.8092803955078,764.871337890625,224.52455139160156,713.0643310546875,222.9835662841797,786.470703125,276.05401611328125,686.3348999023438,273.8800354003906,851.7098999023438,253.73770141601562,603.4999389648438,250.6099090576172,913.676025390625,196.9155731201172,534.3379516601562,198.4774932861328,769.1659545898438,445.7145080566406,706.9915771484375,445.1549072265625,775.0753784179688,566.3995971679688,703.0641479492188,562.4257202148438,783.6154174804688,682.9737548828125,700.4310302734375,677.3922119140625
4,0.1333331616226658,741.8621826171875,224.63311767578125,752.8812255859375,215.87890625,731.6111450195312,215.07894897460938,767.6817626953125,222.3674774169922,716.4884643554688,220.8525390625,789.2222290039062,273.7105407714844,690.8945922851562,271.61932373046875,853.3140869140625,250.31275939941406,611.7494506835938,248.5540771484375,911.4052124023438,189.13661193847656,544.7006225585938,195.65638732910156,769.7899169921875,445.447509765625,708.3985595703125,444.4967956542969,775.5883178710938,567.5620727539062,703.9879760742188,563.3458862304688,783.9923095703125,683.1824951171875,699.9117431640625,677.9376220703125
5,0.16666645202833225,745.5585327148438,226.34829711914062,756.0802001953125,218.34490966796875,735.6207275390625,216.67892456054688,768.9667358398438,224.75563049316406,719.6057739257812,221.08592224121094,789.1553344726562,274.3931579589844,692.109619140625,270.1759033203125,853.940185546875,242.14552307128906,619.2200317382812,243.24130249023438,912.643310546875,179.19769287109375,557.611083984375,188.98660278320312,770.4879150390625,448.260498046875,709.8373413085938,445.887939453125,775.124755859375,570.7991333007812,704.5072021484375,564.1707763671875,778.68310546875,688.4063110351562,700.73095703125,681.9955444335938
6,0.1999997424339987,745.4169921875,226.22279357910156,755.951904296875,218.14413452148438,735.3843994140625,216.61453247070312,769.1088256835938,224.51048278808594,719.6936645507812,221.2542724609375,789.9761962890625,274.2919921875,692.411376953125,270.36712646484375,854.2091674804688,241.6785888671875,618.8724975585938,242.7292938232422,912.4095458984375,179.20298767089844,556.551025390625,188.04258728027344,770.7578735351562,448.7161865234375,709.8849487304688,446.259521484375,774.6756591796875,571.65478515625,704.243408203125,564.2836303710938,778.311767578125,689.3289184570312,700.6898193359375,681.4352416992188
7,0.23333303283966517,754.9044189453125,226.021240234375,764.09228515625,218.11402893066406,744.2994995117188,216.38723754882812,773.7786865234375,224.5668487548828,723.3607177734375,220.5627899169922,793.569580078125,272.7414855957031,693.1871337890625,267.5745849609375,857.8330688476562,235.17320251464844,623.7371215820312,233.38356018066406,906.7244873046875,170.50917053222656,566.7969970703125,177.289794921875,775.8190307617188,448.3575439453125,712.6256103515625,445.308349609375,778.2359008789062,571.52392578125,706.4036865234375,562.9918823242188,776.2765502929688,688.262939453125,701.2869873046875,678.1583251953125
8,0.2666663232453316,755.5537719726562,226.15847778320312,764.4029541015625,218.2104949951172,744.967041015625,216.4850311279297,773.3720703125,224.44020080566406,723.2570190429688,220.35585021972656,792.908447265625,272.4615173339844,692.7184448242188,267.1194763183594,857.7063598632812,235.45376586914062,623.8299560546875,233.23428344726562,906.6995239257812,170.7922821044922,566.47314453125,177.02662658691406,775.8155517578125,448.0553894042969,712.7068481445312,444.9652099609375,777.8974609375,571.0266723632812,706.2703247070312,562.3558349609375,776.1915893554688,688.1287231445312,701.2312622070312,677.6988525390625
9,0.2999996136509981,757.5609741210938,225.3268585205078,767.0830078125,216.53138732910156,746.1533203125,215.77830505371094,778.1431884765625,221.97190856933594,726.3307495117188,220.80877685546875,800.0614013671875,269.87664794921875,698.85546875,268.2997741699219,863.5667114257812,230.43804931640625,630.433837890625,232.7459259033203,906.1973266601562,165.0311279296875,573.48974609375,175.76722717285156,779.5552978515625,441.9962158203125,715.0819702148438,439.8731384277344,782.5116577148438,567.983642578125,709.3391723632812,560.6656494140625,781.0724487304688,683.57666015625,701.5873413085938,673.9846801757812
10,0.3333329040566645,759.4617919921875,224.8983917236328,769.3729858398438,216.36192321777344,748.4971923828125,215.1826171875,780.9310302734375,221.71412658691406,729.8567504882812,219.65708923339844,803.2274780273438,268.5447082519531,701.7471313476562,266.1511535644531,865.5552368164062,225.87933349609375,632.5834350585938,227.4413299560547,904.8170776367188,156.515380859375,577.8580932617188,167.08358764648438,781.1010131835938,440.9555358886719,716.4864501953125,438.16607666015625,784.1513671875,567.4297485351562,711.0799560546875,558.5527954101562,780.5794677734375,682.9963989257812,703.6007080078125,671.6668090820312
